,nama,harga,deskripsi,berat,spesifikasi,kondisi,stok,dilihat,tertarik,terjual,rating,nama_toko,lokasi,kurir_pengiriman,tag,gambar,link
0,PROMO BOSQIU AC DAIKIN FLOOR STANDING 5PK 5 PK INVERTER 3 Phase LARIS,55106800,"SKYAIR InverterAC FLOOR STANDING (3 Phase)Model Indoor: FVA125AMVMModel Outdoor: RZF125CYM4Remote WirelessKapasitas: 5 PKRefrigerant: R32Kapasitas Pendingin: 19.500-47.800 BtuDaya Listrik: 4.48 kWDimensi Indoor: 1.850x600x270Dimensi Outdoot: 990x940x320Berat Indoor: 50 KgBerat Outdoor: 64 KgUkuran Pipa: 3/8 + 5/8Garansi parts 1 tahun &amp; compressor 3 tahun(Harga diatas Unit Saja, belum termasuk Pengiriman, Pemasangan dan Material Pipa)Untuk Pemasangan harap konfirmasi (tersedia Pipa Daikin)Team Pemasangan (Team Teknisi Installation RA, SkyAir &amp; Multi Certificate by DAIKIN)Kami Melayani Pengiriman dan Pemasangan untuk area: Jakarta dan Tangerang Di luar area tersebut mohon konfirmasi terlebih dahulu.Pembelian unit only atau tanpa pemasangan, untuk Pengiriman silahkan menambahkan Custom Logistik/ Service Normal.More detail, Call  (WhatsApp)SKU : 3131/1143831986455625728/55",1,{},Baru,200,0,0,0,0.0,RAMA ADITYA Store,Jakarta Barat,"JNE REG, Wahana Tarif Normal",,https://s2.bukalapak.com/img/28753390842/large/data.jpeg,https://www.bukalapak.com/p/elektronik/elektronik-lainnya/3ph92yd-jual-promo-bosqiu-ac-daikin-floor-standing-5pk-5-pk-inverter-3-phase-laris
1,PROMO BOSQIU AC DAIKIN FLOOR STANDING 5PK 5 PK INVERTER 3 Phase LARIS,55106800,"SKYAIR InverterAC FLOOR STANDING (3 Phase)Model Indoor: FVA125AMVMModel Outdoor: RZF125CYM4Remote WirelessKapasitas: 5 PKRefrigerant: R32Kapasitas Pendingin: 19.500-47.800 BtuDaya Listrik: 4.48 kWDimensi Indoor: 1.850x600x270Dimensi Outdoot: 990x940x320Berat Indoor: 50 KgBerat Outdoor: 64 KgUkuran Pipa: 3/8 + 5/8Garansi parts 1 tahun &amp; compressor 3 tahun(Harga diatas Unit Saja, belum termasuk Pengiriman, Pemasangan dan Material Pipa)Untuk Pemasangan harap konfirmasi (tersedia Pipa Daikin)Team Pemasangan (Team Teknisi Installation RA, SkyAir &amp; Multi Certificate by DAIKIN)Kami Melayani Pengiriman dan Pemasangan untuk area: Jakarta dan Tangerang Di luar area tersebut mohon konfirmasi terlebih dahulu.Pembelian unit only atau tanpa pemasangan, untuk Pengiriman silahkan menambahkan Custom Logistik/ Service Normal.More detail, Call  (WhatsApp)SKU : 3131/1143831986455625728/55",1,{},Baru,200,0,0,0,0.0,RAMA ADITYA Store,Jakarta Barat,"JNE REG, Wahana Tarif Normal",,https://s2.bukalapak.com/img/28753390842/large/data.jpeg,https://www.bukalapak.com/p/elektronik/elektronik-lainnya/3ph92yd-jual-promo-bosqiu-ac-daikin-floor-standing-5pk-5-pk-inverter-3-phase-laris
2,PROMO BOSQIU AC DAIKIN FLOOR STANDING 5PK 5 PK INVERTER 3 Phase LARIS,55106800,"SKYAIR InverterAC FLOOR STANDING (3 Phase)Model Indoor: FVA125AMVMModel Outdoor: RZF125CYM4Remote WirelessKapasitas: 5 PKRefrigerant: R32Kapasitas Pendingin: 19.500-47.800 BtuDaya Listrik: 4.48 kWDimensi Indoor: 1.850x600x270Dimensi Outdoot: 990x940x320Berat Indoor: 50 KgBerat Outdoor: 64 KgUkuran Pipa: 3/8 + 5/8Garansi parts 1 tahun &amp; compressor 3 tahun(Harga diatas Unit Saja, belum termasuk Pengiriman, Pemasangan dan Material Pipa)Untuk Pemasangan harap konfirmasi (tersedia Pipa Daikin)Team Pemasangan (Team Teknisi Installation RA, SkyAir &amp; Multi Certificate by DAIKIN)Kami Melayani Pengiriman dan Pemasangan untuk area: Jakarta dan Tangerang Di luar area tersebut mohon konfirmasi terlebih dahulu.Pembelian unit only atau tanpa pemasangan, untuk Pengiriman silahkan menambahkan Custom Logistik/ Service Normal.More detail, Call  (WhatsApp)SKU : 3131/1143831986455625728/55",1,{},Baru,200,0,0,0,0.0,RAMA ADITYA Store,Jakarta Barat,"JNE REG, Wahana Tarif Normal",,https://s2.bukalapak.com/img/28753390842/large/data.jpeg,https://www.bukalapak.com/p/elektronik/elektronik-lainnya/3ph92yd-jual-promo-bosqiu-ac-daikin-floor-standing-5pk-5-pk-inverter-3-phase-laris
3,DISC GILAK AC CASSETTE DAIKIN FCNQ42MV14  AC CASSETTE 5 PK THAILAND WIRELESS MURAH,44659800,"Highlight Produk5 PKCassette Standard4.150 WattWarna PutihGaransi 1 tahun sparepart, 3 tahun kompressorSpesifikasi Daikin FCNQ42MV14 + RNQ42MY14 AC Cassette 5 PK Standard Remote WirelessProduk SKU  FCNQ42MV14Warna   PutihDaya Listrik (Watt) 4150 WattDimensi (l x w x h) 84 x 84 x 30 cmBerat   24 KgGaransi Produk  1 Tahun Sparepart, 3 Tahun KompressorKapasitas Pendinginan   42600 BTU/hUkuran Pipa Cair &amp;amp; Gas (Inch)   ?3/8 ?5/8Dimensi Outdoor (l x w x h) 135 x 90 x 32 cmBerat Outdoor   107 KgSKU : 3131/1115584256423936000/55",1000,{},Baru,200,0,0,0,0.0,HASUDUNGAN GURUH ROOF,Jakarta Selatan,"JNE REG, Wahana Tarif Normal, SiCepat BEST, SiCepat HALU",,https://s0.bukalapak.com/img/56231490942/large/data.jpeg,https://www.bukalapak.com/p/elektronik/elektronik-lainnya/3q66j43-jual-disc-gilak-ac-cassette-daikin-fcnq42mv14-ac-cassette-5-pk-thailand-wireless-murah
4,AC Cassette Daikin FCNQ48MV14 - RNQ48MY14 6 PK R-410,39242000,CEILING MOUNTED CASSETTE ROUND FLOWKaset AC dengan aliran udara seragam 360 menetapkan standar~ Hindari suhu yang tidak merata dan ketidaknyamanan yang disebabkan oleh angin~ Kenyamanan ditingkatkan dengan Round Flow~ Mudah beradaptasi dengan ruang instalasi~ Tubuh kompak dan operasi yang tenang~ Cepat dan mudah dipasang~ Lebih mudah dirawat~ Ukuran panel sama untuk semua model: membuatnya mudah untuk mempertahankan penampilan yang rapi ketika beberapa unit dipasang.Mohon konsultasi terlebih dahulu mengenai kapasitas AC terkait ruangan yg ingin dipasang. (Untuk menghindari kesalahan kapasitas)                                                                                                                                                                                  Mohon ditanyakan kapasitas..Membeli = setuju dengan ketentuanWA : 0895358593002,10,"{'brand': 'Daikin', 'jenis': 'Cassette', 'kapasitas': '5pk'}",Baru,1,0,0,0,0.0,TDS AC Retail,Jakarta Barat,"SiCepat REG, Ambil Sendiri",,https://s1.bukalapak.com/img/16504294381/large/data.jpeg,https://www.bukalapak.com/p/elektronik/ac/2u0gwtv-jual-ac-cassette-daikin-fcnq48mv14-rnq48my14-6-pk-r-410
5,AC FLOOR STANDING 5 PK DAIKIN FVQ125CVEB4 INVERTER R410A THAILAND NEW,39000000,"Untuk Jakarta bisa lgsg Transaksi.Luar Daerah Harap Konfirmasi Terlebih Dahulu Untuk Biaya Pengiriman. Untuk Informasi Lebih Lanjut Silahkan Hubungin kami : AC SHOP 59DAIKIN AC FLOOR STANDINGINVERTER AIRFLOW CONTROLR410A THAILANDMODEL : FVQ125CVEB4SpesifikasiKapasitas 5 PkOudoor Unit : RZR125MYM4Power Supply3 Phase, 380-415V, 50HzCooling Capacity Rated (min - max) kW 12.5(5.7-14.0)Btu/h 42.700 (19.500-47.800)Power Consumption Cooling kW 4.62COP W/W 2.71CSPF Wh/Wh 4.58INDOOR UNITColour Fresh whiteFan Airflow rate (H/M/L) m3/min 28/26/24Cfm 988/918/847Sound Pressure Level3(H/M/L)dB(A) 51/48/46Dimensions (HxWxD)1850 x 600 x 350 mmMachine Weight (Kg) 47Certified Operation range(CBW) 14 to 25OUTDOOR UNITColou Ivory WhiteCoil Type Gross fan CoilCompressor Type-Hermetically Sealed SwingMotor Output kW 1.92Refrigerant chager(Kg)(R410a) 1.9 Charger for 30 m)Sound Pressure Level3Cooling dB(A) 52Net Quiet Mode dB(A)45Dimensions (HxWxD)990 x 940 x 320 mmMachine Weight (Kg)73Certified Operation range(CBW) 21 to 46Harga Unit OnlyPemasangan Dan Pipa NegoGaransi Resmi DaikinDescriptionKonfigurasi floor standing berarti produk ini mudah dipasang dan dipelihara. AC ini juga dapat dipasang dibawah plafon yang tinggi.Operasi HeningAyunan otomatis memberikan kenyamanan ke setiap sudut ruangan.Mudah dioperasikan, panel kendali LCD yang praktisPemasangan dan layanan yang mudah",1,{},Baru,5,0,1,0,0.0,acshop59elektronik,Jakarta Utara,"Grab Instant, Grab Same Day, JNE REG, JNE YES, GO-SEND Same Day, GO-SEND Instant",,https://s1.bukalapak.com/img/68298143121/large/data.png,https://www.bukalapak.com/p/elektronik/elektronik-lainnya/1hmftdu-jual-ac-floor-standing-5-pk-daikin-fvq125cveb4-inverter-r410a-thailand-new
6,AC FLOOR STANDING 5 PK DAIKIN FVA125AMVM INVERTER R32 WIRED THAILAND NEW,38550000,"Untuk Jakarta bisa lgsg Transaksi.Luar Daerah Harap Konfirmasi Terlebih Dahulu Untuk Biaya Pengiriman. Untuk Informasi Lebih Lanjut Silahkan Hubungin kami: AC SHOP 59DAIKIN AC FLOOR STANDINGSUPER INVERTER R32 NEWTHAILAND (WIRED)MODEL: FVA-125AMVMSpesifikasiKapasitas 5 PkRemote WiredCooling Capacity Rated Btu/h 42.700 (19.500-47.800)(min - max) kW 12.5(5.7-14.0)Daya Listrik (kW)4.48COP WW 2.79Power Supply3 Phase, 380-415V, 50HzDimensi (HxWxD)Indoor 1.850x600x350 mmBerat (Kg)50Dimensi (HxWxD)Outdoor 900x940x320 mmBerat(Kg)64Ukuran Pipa 3/8-5/8Refrigerant R32Garansi Resmi DaikinHarga Unit OnlyPemasangan Dan Pipa NegoAC DAIKIN Tipe Floor Standingcocok digunakan untuk ruangan yang tidak berplafon, besar ataupun dengan langit - langit yang tinggi. Serta memiliki FiturAuto Swing sehingga louver bisa bergerak dengan otomatis untuk pendinginan secara merata.InverterVarian kompressor yang lebih efektif dalam penggunaan energi sehingga menjadi lebih hemat listrik dan dapat memberikan suhu derajat yang lebih akurat dibanding dengan ac konvensionalGaransi Resmi DaikinHarga Unit ajpemasangan Dan Pipa Nego",1,{},Baru,10,0,0,0,0.0,acshop59elektronik,Jakarta Utara,"Grab Instant, Grab Same Day, JNE REG, JNE YES, GO-SEND Same Day, GO-SEND Instant",,https://s0.bukalapak.com/img/05626647241/large/2019_09_22T20_30_53_07_00.jpg,https://www.bukalapak.com/p/elektronik/elektronik-lainnya/2aq0ikj-jual-ac-floor-standing-5-pk-daikin-fva125amvm-inverter-r32-wired-thailand-new
7,AC CASSETTE 5 PK DAIKIN FCFC-125DVM4 NEW SKY INVERTER R32 WIRELESS NEW,35800000,"Untuk Jakarta bisa lgsg Transaksi.Luar Daerah Harap Konfirmasi Terlebih Dahulu Untuk Biaya Pengiriman. Untuk Informasi Lebih Lanjut Silahkan Hubungi kami: AC SHOP 59DAIKIN CEILING MOUNTED CASSETTENEW SKY INVERTER R32MODEL : FCFC-125DVM4OUTDOOR UNIT: RZFC-125DY14FeaturesKapasitas 5 PkPower Supply Outdoor Unit3 Phase / 380V / 50HzCooling Capacity 1,2 Rated(min-max)kW 12.5 (5.7 - 14.0)Btu/h 42.700(19.500 - 47.800)Power Consumtion Cooling kW 4.70COP kW/kW 2.66CSPF Wh/Wh 4.29Indoor UnitColour WhiteDecoration Panel Fresh WhiteAirflow Rate(H / M / L)min3/min 36 / 29 / 21Cfm 1.271 / 1.24 / 741Sound Pressure Level (H / M / L) dB(A) 46 / 40 / 33Dimensions (HxWxD)298 x 840 x 840 mmDecoration Panel 50 x 950 x 950 mmIndoor Berat(Kg)24Decoration Panel(Kg) 5.5Outdoor Unit Colour Ivory WhiteCoil Type Micro ChannelCompressor Type Hermetically Sealed Swing TypeMotor Output kW 2.40Refrigerant Charge R32Sound Pressure Level 3Cooling dB(A)54Dimensions (HxWxD)Outdoor 990 x 940 x 320 mmOutdoor Berat(Kg)62Garansi Resmi DaikinHarga Unit OnlyPemasangan Dan Pipa Nego",100,{},Baru,10,0,0,0,0.0,acshop59elektronik,Jakarta Utara,"Grab Instant, Grab Same Day, JNE REG, JNE YES, GO-SEND Same Day, GO-SEND Instant",,https://s1.bukalapak.com/img/65646989871/large/2020_02_03T23_55_54_07_00.jpg,https://www.bukalapak.com/p/elektronik/elektronik-lainnya/2rx90oa-jual-ac-cassette-5-pk-daikin-fcfc-125dvm4-new-sky-inverter-r32-wireless-new
8,hargaterbaik DAIKIN AC STANDING FLOOR 5PK SV 125 CXYL REMOTE WIRELESS mutukualitasproduk,33373200,SELAMAT DATANG SELAMAT BERBELANJA.....MOHON BACA CATATAN PENJUALDAIKINAC FLOOR STANDING 5PKSV 12 CXYL REMOTE WIRELESSGARANSI RESMI DAIKINTEMUKAN PRODUK BERKUALITAS HANYA DISINI......SKU : 3131/1116337495876485120/55,100,{'merk': 'AYI'},Baru,200,0,0,0,0.0,LULUZU SHOP,Surabaya,"JNE REG, JNE Trucking",,https://s1.bukalapak.com/img/12445596422/large/data.jpeg,https://www.bukalapak.com/p/elektronik/elektronik-lainnya/3cfq7t8-jual-hargaterbaik-daikin-ac-standing-floor-5pk-sv-125-cxyl-remote-wireless-mutukualitasproduk
9,Promo AC FLOOR STANDING DAIKIN 5PK FVRN125BXV14 NON INVERTER SKYAIR Diskon,33320000,DAIKIN AC FLOOR STANDING5 PK MALAYSIA SKYAIR SERIES FVRNMODEL:FVRN125BXV14FeaturesKAPASITAS: 5 PKINDOOR:FVRN 125 BXV14Kapasitas Pendingin:Kw 13.19Refrigerant R410aBtu/H 45.000Daya Listrik:4.100 WattNominal Cop W/W 3.00Aliran UdaraCfm:1035/935/835Tingkat Tekanan Suaradb (A) 50/48/46DimensiUnit Indoor:1850x600x350Berat Indoor: 48 KgUnit OutdoorCatu Daya:V/Ph/Hz220-240V/3Phase/50HzTingkat Tekanan Suaradb ( A) 60DimensiUnit Outdoor:852x1030x400Berat Outdoor: 98Air FlowAuto Swing LouversAtas &amp; BawahAuto RastartAuto CompressorUkuran Pipa:5/8-3/8Garansi Resmi DaikinHarga UnitPemasangnan &amp; Pipa NegoSKU : 3131/1115587937844248576/55,100,{'merk': 'AYI'},Baru,2,0,1,0,0.0,Septha  Almeta OUTLET,Jakarta Pusat,"JNE REG, TIKI ONS, Wahana Tarif Normal",,https://s1.bukalapak.com/img/18985093132/large/data.jpeg,https://www.bukalapak.com/p/elektronik/elektronik-lainnya/3fcqgpc-jual-promo-ac-floor-standing-daikin-5pk-fvrn125bxv14-non-inverter-skyair-diskon
10,Promo AC FLOOR STANDING DAIKIN 5PK FVRN125BXV14 NON INVERTER SKYAIR Diskon,33320000,DAIKIN AC FLOOR STANDING5 PK MALAYSIA SKYAIR SERIES FVRNMODEL:FVRN125BXV14FeaturesKAPASITAS: 5 PKINDOOR:FVRN 125 BXV14Kapasitas Pendingin:Kw 13.19Refrigerant R410aBtu/H 45.000Daya Listrik:4.100 WattNominal Cop W/W 3.00Aliran UdaraCfm:1035/935/835Tingkat Tekanan Suaradb (A) 50/48/46DimensiUnit Indoor:1850x600x350Berat Indoor: 48 KgUnit OutdoorCatu Daya:V/Ph/Hz220-240V/3Phase/50HzTingkat Tekanan Suaradb ( A) 60DimensiUnit Outdoor:852x1030x400Berat Outdoor: 98Air FlowAuto Swing LouversAtas &amp; BawahAuto RastartAuto CompressorUkuran Pipa:5/8-3/8Garansi Resmi DaikinHarga UnitPemasangnan &amp; Pipa NegoSKU : 3131/1115587937844248576/55,100,{'merk': 'AYI'},Baru,2,0,1,0,0.0,Septha  Almeta OUTLET,Jakarta Pusat,"JNE REG, TIKI ONS, Wahana Tarif Normal",,https://s1.bukalapak.com/img/18985093132/large/data.jpeg,https://www.bukalapak.com/p/elektronik/elektronik-lainnya/3fcqgpc-jual-promo-ac-floor-standing-daikin-5pk-fvrn125bxv14-non-inverter-skyair-diskon
11,AC CEILING SUSPENDED 6 PK DAIKIN FHNQ48MV14 STANDARD R410 WIRELESS NEW,32900000,"Untuk Jakarta bisa lgsg Transaksi.Luar Daerah Harap Konfirmasi Terlebih Dahulu Untuk Biaya Pengiriman. Untuk Informasi Lebih Lanjut Silahkan Hubungin kami: AC SHOP 59DAIKIN AC CEILING SUSPENDED6 PK STANDARD WIRELESS R410MODEL: FHNQ48MV14Ceiling air conditioner yang memberikan pemerataan kenyamanan udara dalam keseluruhan ruangan. Fleksibiltas dalam pemasangan dan perawatan untuk kebebasan dalam desain.SPESIFIKASIKapasitas 6 PkRemote AC	WirelessKapasitas pendinginan	48.000 Btu/hKapasitas(kW) 14.1Konsumsi listrik(W)	5.510COP W/W 2.56Voltage 380-415V, 3P / 50HzDimensi (HxWxD)Indoor 195 x 1590 x 680 mmBerat Mesin (Kg)35Dimensi (HxWxD)Outdoor 1.345 x 900 x 320 mmBerat Mesin (Kg)111Ukuran Pipa 3/8-5/8Refrigerant R410aHarga Unit OnlyGaransi Resmi Daikin",1,{},Baru,10,0,0,0,0.0,acshop59elektronik,Jakarta Utara,"Grab Instant, Grab Same Day, JNE REG, JNE YES, GO-SEND Same Day, GO-SEND Instant",,https://s1.bukalapak.com/img/19918303751/large/2019_11_14T22_58_20_07_00.jpg,https://www.bukalapak.com/p/elektronik/elektronik-lainnya/2htxfms-jual-ac-ceiling-suspended-6-pk-daikin-fhnq48mv14-standard-r410-wireless-new
12,AC CASSETTE DAIKIN 5 PK FCNQ-42MV14 SKYAIR NON INVERTER THAILAND R410A NEW,31900000,"Untuk Jakarta LangsungTransaksi Free Ongkir.Untuk Luar Jakarta DanLuar Daerah Harap KomfirmasiWa:DAIKIN AC CASSETTESKYAIR NON INVETERROUND-FLOW 5 PKMADE IN THAILANDMODEL:FCNQ42MV14(WL)Features5 Pk WirelessWarna: PutihPANEL:BYPC-125 K-W18Refrigerant: R-410aCapasitas Pendingin: Kw 12.5Btu/h 42.600 Daya Listrik: 4.150 WattCop W/W 3.01Voltage:380-415 V 50 Hz/ 3 PhaseDimensi In:H298W840D840 CmDimensi Out:H1.345W900D320 Cm Berat In: 24 KgBerat Out: 107 KgUkuran Pipa: 3/8-5/8AC DAIKIN Tipe Cassete cocok untuk digunakan di ruangan dengan langit - langit yang tak terlalu tinggi. Juga ber-Tipe Standard dengan dilengkapi dengan Fitur 4-Way untuk distribusi udara yang merata, serta bersifat ekonomis dan mudah terjangkau.Garansi Produk ini memiliki garansi Daikin, 1 tahun untuk Sparepart AC serta 3 tahun untuk KompressorIsi Kotak	1 Buah Kartu Garansi dan Buku ManualHarga Unit ajPemasangan Dan Pipa Nego",1,{},Baru,10,0,0,0,0.0,acshop59elektronik,Jakarta Utara,"Grab Instant, Grab Same Day, JNE REG, JNE YES, GO-SEND Same Day, GO-SEND Instant",,https://s3.bukalapak.com/img/8241541612/large/AC_CASSETTE_DAIKIN_5_PK_FCNQ_42MV14_SKYAIR_NON_INVERTER_THAI.png,https://www.bukalapak.com/p/elektronik/elektronik-lainnya/abcldk-jual-ac-cassette-daikin-5-pk-fcnq-42mv14-skyair-non-inverter-thailand-r410a-new
13,AC STANDING DAIKIN 6PK - FVRN140AXV14,31474000,"6 PKFloor Standing StandardFreon R410a5.490 WattGaransi 1 Tahun SparepartGaransi 3 Tahun KompressorFREE Ongkir : Surabaya , Sidoarjo &amp; Sekitarnya",75000,"{'brand': 'Daikin', 'jenis': '', 'kapasitas': ''}",Baru,5,0,0,0,0.0,Surya Agung Elektronik,Surabaya,"Wahana Tarif Normal, JNE REG, JNE YES, GO-SEND Instant, JNE Trucking, Pos Kilat Khusus, Pos Next Day, Ambil Sendiri, Grab Instant",,https://s4.bukalapak.com/img/9212302522/large/AC_STANDING_DAIKIN_6PK___FVRN140AXV14.jpg,https://www.bukalapak.com/p/elektronik/ac/ezveb9-jual-ac-standing-daikin-6pk-fvrn140axv14
14,AC CASSETTE 4 PK DAIKIN FCFC-100DVM4 NEW SKY INVERTER R32 WIRELESS NEW,30400000,"Untuk Jakarta bisa lgsg Transaksi.Luar Daerah Harap Konfirmasi Terlebih Dahulu Untuk Biaya Pengiriman. Untuk Informasi Lebih Lanjut Silahkan Hubungi kami: AC SHOP 59DAIKIN CEILING MOUNTED CASSETTENEW SKY INVERTER R32MODEL : FCFC-100DVM4OUTDOOR UNIT: RZFC-100DY14FeaturesKapasitas 4 PkPower Supply Outdoor Unit3 Phase / 380V / 50HzCooling Capacity 1,2 Rated(min-max)Btu/h 34.100(17.100-38.200)kW 10.0(5.0 - 11.2)Power Consumtion Cooling kW 3.35COP kW/kW 2.98CSPF Wh/Wh 4.67Indoor UnitColour WhiteDecoration Panel Fresh WhiteAirflow Rate(H / M / L)min3/min 34 / 27 / 20Cfm 1.200 / 953 / 706Sound Pressure Level (H / M / L) dB(A) 45 / 38 / 33Dimensions (HxWxD)298 x 840 x 840 mmDecoration Panel 50 x 950 x 950 mmIndoor Berat(Kg)24Decoration Panel(Kg) 5.5Outdoor Unit Colour Ivory WhiteCoil Type  Micro ChannelCompressor Type Hermetically Sealed Swing TypeMotor Output  kW 1.60Refrigerant Charge R32Sound Pressure Level 3Cooling dB(A)51Dimensions (HxWxD)Outdoor 695 x 930 x 350 mmOutdoor Berat(Kg)44Garansi Resmi DaikinHarga Unit OnlyPemasangan Dan Pipa Nego",100,{},Baru,10,0,0,0,0.0,acshop59elektronik,Jakarta Utara,"Grab Instant, Grab Same Day, JNE REG, JNE YES, GO-SEND Same Day, GO-SEND Instant",,https://s1.bukalapak.com/img/67571689871/large/2020_02_03T23_30_57_07_00.jpg,https://www.bukalapak.com/p/elektronik/elektronik-lainnya/2rx6os5-jual-ac-cassette-4-pk-daikin-fcfc-100dvm4-new-sky-inverter-r32-wireless-new
15,AC Floor Standing Daikin FVRN140BXV14 - RR140CXY1A4 6 PK R-410A 3 Phase,29925000,"Floor Standing TypeKonfigurasi floor standing berarti produk ini mudah dipasang dan dirawat. Itu juga dapat diinstal di bawah langit-langit tinggi.~ Operasi yang tenang~ Ayunan otomatis memberikan kenyamanan ke setiap sudut ruangan.~ Mudah dioperasikan, panel kontrol LCD yang praktis~ Mudah dipasang dan diservisMohon konsultasi terlebih dahulu mengenai kapasitas AC terkait ruangan yg ingin dipasang. (Untuk menghindari kesalahan kapasitas)                                                                                                                                                                                  Mohon ditanyakan kapasitas..Membeli = setuju dengan ketentuanWA : 0895358593002",10,"{'brand': 'Daikin', 'jenis': 'Floorstand', 'kapasitas': '5pk'}",Baru,1,0,0,0,0.0,TDS AC Retail,Jakarta Barat,"SiCepat REG, Ambil Sendiri",,https://s1.bukalapak.com/img/17762486381/large/data.jpeg,https://www.bukalapak.com/p/elektronik/ac/2u3h9ch-jual-ac-floor-standing-daikin-fvrn140bxv14-rr140cxy1a4-6-pk-r-410a-3-phase
16,Maknyus  FTKM60SVM4 AC DAIKIN 2 5PK INVERTER PREMIUM THAILAND NEW 1404,29850200,"Welcome and happy shopping20500 Btu/h - Bisa mendinginkan ruangan sampai 38m2.Garansi 1 Tahun Sparepart, 3 Tahun Kompresor.3D Airflow - Fungsi ini menggabungkan Vertical dan Horizontal Auto-Swing untuk mengeluarkan udara sejuk tepat ke sudut ruangan.Inverter - Fungsi ini nyaman untuk meningkatkan pendinginan kinerja dalam waktu 20 menit.R32 - Refrigeran ramah lingkungan dengan nol ODP (Ozone Depletion Potential) dan lebih cepat dingin.Mode Econo - Mode ini membatasi arus dan kekuatan maksimum konsumsi. Ini meningkatkan efisiensi dan juga mencegah pemutus sirkuit menjadi kelebihan.Intelligent Eye - Intelligent Eye memiliki sensor inframerah yang mendeteksi gerakan manusia di zona kiri, kanan dan tengah.Mulai Ulang Otomatis - AC akan mengingat pengaturan mode operasi, dan secara otomatis kembali ke pengaturan tersebut ketika listrik kembali menyala.SKU	FTKM60SVM4Type	AC Inverter	Warna	PutihDaya Listrik	1520 Watt Dimensi	30 x 105 x 25 cmBerat	15 KgGaransi	1 Tahun Sparepart, 3 Tahun Kompresor PK	2,5 PK BTU/h	20500 BTU/h Refrigrant	R-32 Uk. Pipa	1/4 1/2 Dimensi Ou.	105 x 24 x 29 cmBerat Ou.	30 KgMade In	thailandKapasitas	203 LiterRefrigrant	R-600AHAPPY SHOPING, THANK YOUSKU : 3131/1097137455886942208/55",100,{'merk': 'AYI'},Baru,200,0,0,0,0.0,Basic Ori,Bekasi,JNE REG,,https://s1.bukalapak.com/img/13622709502/large/11156205592744178_407b03ae_711c_4cd5_9738_c187aed07a14_makny.png,https://www.bukalapak.com/p/elektronik/elektronik-lainnya/33rr2lz-jual-maknyus-ftkm60svm4-ac-daikin-2-5pk-inverter-premium-thailand-new-1404
17,AC FLOOR STANDING 6 PK DAIKIN FVRN-140BXV14 NON-INVERTER SKYAIR SERIES  NEW,28450000,Untuk Jakarta bisa lgsg Transaksi.Luar Daerah Harap Konfirmasi Terlebih Dahulu Untuk Biaya Pengiriman. Untuk Informasi Lebih Lanjut Silahkan Hubungi kami.DAIKIN AC FLOOR STANDINGSKYAIR SERIES FVRNMODEL:FVRN-140BXV14FeaturesKAPASITAS: 6 PKMODEL INDOOR:FVRN-140 BXV14MODEL OUTDOOR:RR-140 DXY1A4Nominal Kapasitas:Kw 16.12Btu/h 55.000Nominal Masukan Daya:5.490 WattNominal Cop:WW 2.94Uint IndoorCatu Daya220-240 V/1 Phase/50 HzAliran Udara:Cfm 1170/1085/985Tingkat Tekanan Suaradb (A) 54-53-51Dimensi:1850x600x350Berat Indoor: 51 KgUnit OutorCatu Daya380-415 V/3 Phase/50 HzTingkat Tekanan Suara:db(A) 65Dimensi:852x1030x400Berat Outdoor:105 KgGaransi Resmi DaikinHarga UnitPemasangan &amp; Nego,1,{},Baru,5,0,1,0,0.0,acshop59elektronik,Jakarta Utara,"Grab Instant, Grab Same Day, JNE REG, JNE YES, GO-SEND Same Day, GO-SEND Instant",,https://s2.bukalapak.com/img/224026166/large/SI_20161121_111706.png,https://www.bukalapak.com/p/elektronik/elektronik-lainnya/4sjuik-jual-ac-floor-standing-6-pk-daikin-fvrn-140bxv14-non-inverter-skyair-series-new
